pclass,survived,sex,age,if child,fare ,is port,is A,boat,sibsp,parch,if is port and man
1,0,1,39,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,40,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,38,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0
3,0,1,49,0,0,0,0,0,0,0,0
3,0,1,19,0,0,0,0,0,0,0,0
3,0,1,36,0,0,0,0,0,0,0,0
3,0,1,20,0,3,0,0,0,0,0,0
1,0,1,33,0,3,1,0,0,0,0,1
3,0,1,34.5,0,3,0,0,0,0,0,0
3,0,1,43,0,3,0,0,0,0,0,0
3,0,1,34,0,3,0,0,0,0,0,0
3,0,1,19,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,45,0,3,0,0,0,0,0,0
3,0,1,29,0,3,0,0,0,1,0,0
3,0,1,24,0,3,0,0,0,0,0,0
3,0,1,25,0,3,0,0,0,0,0,0
3,0,1,35,0,3,0,0,0,0,0,0
3,0,1,23,0,3,0,0,0,0,0,0
3,0,1,20,0,3,0,0,0,0,0,0
3,0,1,38,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,17,0,3,0,0,0,1,0,0
3,0,1,51,0,3,0,0,0,0,0,0
3,0,1,17,0,3,0,0,0,0,0,0
3,0,1,22,0,3,0,0,0,0,0,0
3,0,1,21,0,3,0,0,0,0,0,0
3,0,1,30,0,3,0,0,0,0,0,0
3,0,1,20,0,3,0,0,0,0,0,0
3,0,1,40,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,22.5,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,39,0,3,0,0,0,0,2,0
3,0,1,17,0,3,0,0,0,1,1,0
3,0,1,15,1,3,0,0,0,1,1,0
3,0,1,23.5,0,3,0,0,0,0,0,0
3,0,1,30,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,18.5,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,30,0,3,0,0,0,0,0,0
3,0,1,22,0,3,0,0,0,1,0,0
3,0,1,28,0,3,0,0,0,0,0,0
3,0,1,24,0,3,0,0,0,0,0,0
3,0,1,59,0,3,0,0,0,0,0,0
3,0,1,22,0,3,0,0,0,0,0,0
3,0,1,36,0,3,0,0,0,0,0,0
3,0,1,47,0,3,0,0,0,0,0,0
3,0,1,0,0,3,0,0,0,0,0,0
3,0,1,25,0,3,0,0,1,0,0,0
3,0,1,0,0,3,0,1,0.5,0,0,0
3,0,1,20.5,0,3,0,0,0,0,0,0
3,0,1,36,0,3,0,0,0,0,0,0
3,0,1,24,0,3,0,0,0,0,0,0
3,0,1,22,0,3,0,0,0,0,0,0
